"Activity_type" "Subject_id" "Mean" "Standard deviation"
"SITTING" 11 -0.490523100806718 -0.969903732115495
"SITTING" 12 -0.492143016717083 -0.963695997290553
"SITTING" 13 -0.498864171673993 -0.971614675209029
"SITTING" 14 -0.500429006908068 -0.960128611305275
"SITTING" 15 -0.497422802402046 -0.97025459222907
"SITTING" 16 -0.500715990291599 -0.968810838932806
"SITTING" 17 -0.511807902533892 -0.982201351581439
"SITTING" 18 -0.500879188018935 -0.98682249891547
"SITTING" 19 -0.485545520880056 -0.9708062616978
"SITTING" 20 -0.490150258459881 -0.962054556825528
"SITTING" 21 -0.505868080101233 -0.980383901240642
"SITTING" 22 -0.483133445839389 -0.957196402985694
"SITTING" 23 -0.492153863023393 -0.960073119210339
"SITTING" 24 -0.496419075664324 -0.977869422566845
"SITTING" 25 -0.49641281595442 -0.978816477948252
"SITTING" 26 -0.492601756042066 -0.971816617586636
"SITTING" 27 -0.495477709500965 -0.981737422142857
"SITTING" 28 -0.497144560959832 -0.964937670239899
"SITTING" 29 -0.496017831658121 -0.982026481712121
"SITTING" 30 -0.492447529744965 -0.971669425166178
"STANDING" 1 -0.516975248009769 -0.986798479817038
"STANDING" 2 -0.509458925821768 -0.970481596212121
"STANDING" 3 -0.489562657161571 -0.934573756328862
"STANDING" 4 -0.478668968631246 -0.931971966691558
"STANDING" 5 -0.47296792859664 -0.923529957596862
"STANDING" 6 -0.49552886184261 -0.950810498112706
"STANDING" 7 -0.49712229567251 -0.954527409782733
"STANDING" 8 -0.503983250586588 -0.966665007124242
"STANDING" 9 -0.488015383285394 -0.950814844363636
"STANDING" 10 -0.48951318794854 -0.953572276081267
"STANDING" 11 -0.509348992988923 -0.985657370773694
"STANDING" 12 -0.49414119824769 -0.944561812874814
"STANDING" 13 -0.511294929068831 -0.973488324742158
"STANDING" 14 -0.511858205016753 -0.955643634646465
"STANDING" 15 -0.501770733626754 -0.966132857181246
"STANDING" 16 -0.511973313638373 -0.977221575462315
"STANDING" 17 -0.523527623853675 -0.98342571462704
"STANDING" 18 -0.51159610403823 -0.977252557799917
"STANDING" 19 -0.502360007746994 -0.968736065118306
"STANDING" 20 -0.483051016351879 -0.924119798111249
"STANDING" 21 -0.515461450059273 -0.965203536826694
"STANDING" 22 -0.498255676157369 -0.955314916002886
"STANDING" 23 -0.507486524729542 -0.962661937054367
"STANDING" 24 -0.503253505697188 -0.965586593825209
"STANDING" 25 -0.502494367163354 -0.97601896464783
"STANDING" 26 -0.504876753283632 -0.975943695888616
"STANDING" 27 -0.509779188132768 -0.977877930784091
"STANDING" 28 -0.489441887481676 -0.935392243072497
"STANDING" 29 -0.508231420141435 -0.985727862638695
"STANDING" 30 -0.487123238836514 -0.941460565007704
"WALKING" 1 -0.0838573459916048 -0.302551798992919
"WALKING" 2 -0.179377744257812 -0.471518668508629
"WALKING" 3 -0.184906847435204 -0.450988754712889
"WALKING" 4 -0.227442395283293 -0.556813870101975
"WALKING" 5 -0.155142177775656 -0.426550893998593
"WALKING" 6 -0.102949895258251 -0.359321371006842
"WALKING" 7 -0.0830516234370202 -0.286082417455657
"WALKING" 8 -0.0628541721995309 -0.258282654667929
"WALKING" 9 -0.153452675501248 -0.420159775816509
"WALKING" 10 -0.0841881981430086 -0.330444040259886
"WALKING" 11 -0.222529921708447 -0.535503995110734
"WALKING" 12 -0.122791874169958 -0.389277124734909
"WALKING" 13 -0.0996192234656832 -0.322358364868426
"WALKING" 14 -0.177740629970004 -0.39895837100264
"WALKING" 15 -0.165837482937167 -0.446391143626077
"WALKING" 16 -0.226528081859032 -0.539749355518122
"WALKING" 17 -0.180876916238073 -0.437683311620571
"WALKING" 18 -0.235871294315281 -0.553086396517316
"WALKING" 19 0.0185747466575533 -0.166549887439714
"WALKING" 20 -0.00743287435070826 -0.183373669065847
"WALKING" 21 -0.12972532338521 -0.349500177592578
"WALKING" 22 -0.0556136405290072 -0.26807311689122
"WALKING" 23 -0.0151920652623677 -0.178675924182244
"WALKING" 24 -0.20820533795512 -0.505709536494514
"WALKING" 25 -0.261609986650979 -0.578702555047461
"WALKING" 26 -0.170675802716523 -0.466805034954854
"WALKING" 27 -0.175650242052601 -0.454950979293647
"WALKING" 28 -0.174213213286403 -0.453530772337374
"WALKING" 29 -0.119527758730457 -0.394165626288159
"WALKING" 30 -0.145907370846527 -0.388133759487506
"WALKING_DOWNSTAIRS" 1 -0.0349964672263018 -0.263719603503896
"WALKING_DOWNSTAIRS" 2 -0.0128498425231206 -0.199973200120761
"WALKING_DOWNSTAIRS" 3 -0.106137838485022 -0.35927889525865
"WALKING_DOWNSTAIRS" 4 -0.133335907452141 -0.430345489469064
"WALKING_DOWNSTAIRS" 5 -0.0430847556457143 -0.256359233626873
"WALKING_DOWNSTAIRS" 6 0.0741041451560101 -0.0757123543931742
"WALKING_DOWNSTAIRS" 7 -0.0622407365915023 -0.267075771251554
"WALKING_DOWNSTAIRS" 8 0.085966626079681 -0.088038872473445
"WALKING_DOWNSTAIRS" 9 -0.0601334227732157 -0.264963539122641
"WALKING_DOWNSTAIRS" 10 -0.000249750597424243 -0.217214895073397
"WALKING_DOWNSTAIRS" 11 -0.0974925076394664 -0.343943666544796
"WALKING_DOWNSTAIRS" 12 -0.0633883264400636 -0.295167216690606
"WALKING_DOWNSTAIRS" 13 -0.0582178556565087 -0.283386205699099
"WALKING_DOWNSTAIRS" 14 0.0520165644020808 -0.0451783638523098
"WALKING_DOWNSTAIRS" 15 -0.018343557439798 -0.209767527583023
"WALKING_DOWNSTAIRS" 16 -0.097646379462392 -0.333898926802489
"WALKING_DOWNSTAIRS" 17 -0.117045048974242 -0.349846604199914
"WALKING_DOWNSTAIRS" 18 -0.232639629533945 -0.52241384561708
"WALKING_DOWNSTAIRS" 19 0.207842446636077 0.102040595148446
"WALKING_DOWNSTAIRS" 20 0.0205673516885596 -0.112178541969717
"WALKING_DOWNSTAIRS" 21 -0.0434805464459461 -0.235810184772458
"WALKING_DOWNSTAIRS" 22 -0.0321664187679554 -0.262597418835227
"WALKING_DOWNSTAIRS" 23 0.0856423076854714 -0.096587253434725
"WALKING_DOWNSTAIRS" 24 -0.121025608942815 -0.361825458960094
"WALKING_DOWNSTAIRS" 25 -0.202515388020726 -0.489388597208359
"WALKING_DOWNSTAIRS" 26 -0.0661373995186115 -0.284848807776182
"WALKING_DOWNSTAIRS" 27 -0.0636421703057369 -0.297589565580647
"WALKING_DOWNSTAIRS" 28 -0.0270513374056252 -0.251741788748867
"WALKING_DOWNSTAIRS" 29 -0.0622532573329514 -0.295372120789495
"WALKING_DOWNSTAIRS" 30 -0.102448771145494 -0.332598011603382
"WALKING_UPSTAIRS" 1 -0.202237420225089 -0.428436196561521
"WALKING_UPSTAIRS" 2 -0.155899912507109 -0.385997363253851
"WALKING_UPSTAIRS" 3 -0.221951531400878 -0.494763604117052
"WALKING_UPSTAIRS" 4 -0.201041619091582 -0.481670281281346
"WALKING_UPSTAIRS" 5 -0.129397913853791 -0.359295474612702
"WALKING_UPSTAIRS" 6 -0.0890416065711943 -0.290928021342602
"WALKING_UPSTAIRS" 7 -0.231834766139828 -0.493867277426738
"WALKING_UPSTAIRS" 8 -0.0504608937056763 -0.243298670404065
"WALKING_UPSTAIRS" 9 -0.214015127123996 -0.490629371223921
"WALKING_UPSTAIRS" 10 -0.0979337190150181 -0.33138123899396
"WALKING_UPSTAIRS" 11 -0.239938669371902 -0.50198701766128
"WALKING_UPSTAIRS" 12 -0.213995345759266 -0.494017099181002
"WALKING_UPSTAIRS" 13 -0.206510439531774 -0.454771797975796
"WALKING_UPSTAIRS" 14 -0.0675839973893266 -0.154654281147419
"WALKING_UPSTAIRS" 15 -0.167364829544122 -0.421318509545474
"WALKING_UPSTAIRS" 16 -0.247318746084742 -0.518665903063102
"WALKING_UPSTAIRS" 17 -0.180887757725832 -0.424126942064918
"WALKING_UPSTAIRS" 18 -0.282511419626969 -0.570427044938871
"WALKING_UPSTAIRS" 19 -0.0845329172028788 -0.309249674295568
"WALKING_UPSTAIRS" 20 -0.110537891611682 -0.300987852818651
"WALKING_UPSTAIRS" 21 -0.177786205194939 -0.419599595109684
"WALKING_UPSTAIRS" 22 -0.0840679501617965 -0.29935642051746
"WALKING_UPSTAIRS" 23 -0.138862085159026 -0.380009725559834
"WALKING_UPSTAIRS" 24 -0.224183976119461 -0.501053199934977
"WALKING_UPSTAIRS" 25 -0.282541876168821 -0.588295610674266
"WALKING_UPSTAIRS" 26 -0.193503264709355 -0.467172712379008
"WALKING_UPSTAIRS" 27 -0.235577658113458 -0.500441710464349
"WALKING_UPSTAIRS" 28 -0.19566630324426 -0.451136779495425
"WALKING_UPSTAIRS" 29 -0.136016812398584 -0.32789664862457
"WALKING_UPSTAIRS" 30 -0.221270619924211 -0.45655535663849
